class,image,width,height,aspect_ratio,avg_r,avg_g,avg_b
Mabroom,IMG_2953.JPG,1576,3666,0.4298963447899618,219.9449684481453,220.258755516886,136.05694744736297
Mabroom,IMG_2984.JPG,1574,3536,0.4451357466063348,223.30827849937128,223.68208559277835,139.31471278256458
Mabroom,IMG_2990.JPG,1884,2882,0.6537126995142263,222.81766323373915,223.1947560111954,138.92123154935413
Mabroom,IMG_2991.JPG,1853,3453,0.5366348103098755,223.41207862020246,223.83026734235682,139.5088999695466
Mabroom,IMG_2985.JPG,2081,3454,0.602489866821077,223.5606310460248,223.95821879822532,139.51254259902262
Mabroom,IMG_2946.JPG,1899,3668,0.5177208287895311,217.41807340561772,217.62208421076602,133.61047469332277
Mabroom,IMG_3899.JPG,2922,1374,2.126637554585153,225.72044480702732,224.39261513122642,144.94749882562442
Mabroom,IMG_3872.JPG,2380,1494,1.5930388219544847,225.3815805777928,224.0859350440815,144.80721558900964
Mabroom,IMG_3866.JPG,2377,1466,1.621418826739427,225.0039219902049,223.6740781821559,144.24940600262204
Mabroom,IMG_3906.JPG,1103,449,2.4565701559020043,220.31925930167966,218.92358487743627,139.93814925554412
Mabroom,IMG_3912.JPG,431,1930,0.2233160621761658,222.65536017607596,221.32703457218793,142.2852417606167
Mabroom,IMG_3916.JPG,806,1259,0.6401906274821286,225.4295705647898,224.12356049686358,144.88403180771675
Mabroom,IMG_3902.JPG,1869,977,1.9129989764585467,222.61217100739097,221.140998578693,142.00833270819044
Mabroom,IMG_3876.JPG,692,687,1.007278020378457,226.00752108294395,224.83013868571746,145.48866465236696
Mabroom,IMG_3889.JPG,2910,1590,1.830188679245283,222.21016578342906,220.88507161011802,141.93230355554485
Mabroom,IMG_2981.JPG,1583,2961,0.5346166835528537,222.4902540781643,222.77298990885416,138.54030592037108
Mabroom,IMG_2995.JPG,1853,2133,0.8687294889826536,223.6566798973694,224.09991491358738,139.74078053778365
Mabroom,IMG_2994.JPG,1890,2039,0.9269249632172634,219.06909698779364,219.30652809927983,135.37133493235953
Mabroom,IMG_2980.JPG,1985,3533,0.5618454571185961,222.87998367260732,223.2348795796182,138.84770168449216
Mabroom,IMG_2957.JPG,2232,3532,0.6319365798414496,223.06109169819172,223.54314646919295,139.13464824325916
Mabroom,IMG_2943.JPG,1762,3666,0.48063284233497,219.7966839407043,220.07421456377529,135.89260821000158
Mabroom,IMG_3888.JPG,2909,1590,1.8295597484276729,223.1361662241548,221.83228476776836,142.79853977784208
Mabroom,IMG_3877.JPG,2159,1441,1.498265093684941,223.02866715517118,221.66355630170824,142.61706928101424
Mabroom,IMG_3863.JPG,2354,1591,1.4795725958516657,220.86625335791038,219.31153125178614,140.13672795969435
